20230915	18:54:40	73b75f49-3819-4f5e-a205-9ae6e02b4d2f	Error: Not Allowed By CORS	GET	/	https://www.google.com
20230915	18:54:40	9a0a533b-826a-415d-a51b-ba43e0bb7cc7	Error: Not Allowed By CORS	GET	/	https://www.youtube.com
20230915	18:54:40	aa8bfcbc-9e36-4584-a7b6-67e7cabe7472	Error: Not Allowed By CORS	GET	/	https://www.google.com
20230915	18:55:35	5fdf80e3-22ac-4959-a33f-220b0868dcdd	Error: Not Allowed By CORS	GET	/	https://www.google.com
20230916	19:10:05	e41ae0a7-cb49-429e-bf08-0de109a42b62	Error: Not Allowed By CORS	OPTIONS	/api/v1/auth/login	http://localhost:3000
20230916	19:49:44	4593e40f-3b55-4eee-a517-82bdd2a365b0	ValidationError: User validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"	POST	/api/v1/user	undefined
20230916	19:52:24	e25a3fd2-f11d-4670-9184-540bc00754dd	ValidationError: User validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"	POST	/api/v1/user/	undefined
20230916	19:54:14	fbbf39ee-ed0b-4b95-a622-997bfb5ebf86	ValidationError: User validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"	POST	/api/v1/user/	undefined
20230916	19:54:41	04cd5407-b32e-4aca-8f28-7fa10b6c6567	ValidationError: User validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"	POST	/api/v1/user/	undefined
20230918	01:14:11	71d6837e-de80-469b-b173-b1d3ac022977	Error: Not Allowed By CORS	OPTIONS	/api/v1/auth/login	http://192.168.56.1:3000
20230918	01:14:50	ffa19309-6cf7-4ba3-baf9-445a632bf0c0	Error: Not Allowed By CORS	OPTIONS	/api/v1/auth/login	http://192.168.56.1:3000
20230918	01:16:50	dc35724b-0afc-4f9d-a0dd-abaa394e118f	ReferenceError: loginErrLog is not defined	POST	/api/v1/auth/login	http://192.168.56.1:3000
20230918	01:16:53	f27dfd80-f478-4dcd-8064-a0c7241b8536	ReferenceError: loginErrLog is not defined	POST	/api/v1/auth/login	http://192.168.56.1:3000
20230918	01:16:55	744ac14d-a7c6-4ee0-80b6-fdb499954608	ReferenceError: loginErrLog is not defined	POST	/api/v1/auth/login	http://192.168.56.1:3000
20240211	03:55:54	70368570-234e-436b-991b-d2df7f678aa3	Error: ENOENT: no such file or directory, open 'D:\projects\mern chat\server\uploads\file-1707620154363.png'	POST	/api/v1/upload	undefined
20240211	04:10:22	e96f50d2-3eed-422c-a9c8-931a4ed7f0ea	MulterError: Unexpected field	POST	/api/v1/upload	undefined
20240211	04:46:09	a60547b4-df87-471a-a8a6-c1b6054bfa30	ReferenceError: chatname is not defined	POST	/api/v1/chat	undefined
20240211	04:49:00	a1779c05-af10-4d18-8dc7-ea6b8f1e485c	ReferenceError: chatname is not defined	POST	/api/v1/chat	undefined
20240211	05:51:55	4c48b1d1-43f1-4edf-bb42-582625516fcc	ReferenceError: itemId is not defined	POST	/api/v1/message	undefined
20240212	22:56:57	e686eda7-d1ab-4692-aadc-1bac158ffc32	CastError: Cast to ObjectId failed for value "[object Object]" (type string) at path "chat" for model "Message"	GET	/api/v1/message/[object%20Object]	http://localhost:3000
20240212	23:05:08	d18344c7-e063-441b-a7e2-0c03b5947a59	CastError: Cast to ObjectId failed for value "[object Object]" (type string) at path "chat" for model "Message"	GET	/api/v1/message/[object%20Object]	http://localhost:3000
20240212	23:05:12	9c4332b3-e858-4246-8e4c-4b70b509abe5	CastError: Cast to ObjectId failed for value "[object Object]" (type string) at path "chat" for model "Message"	GET	/api/v1/message/[object%20Object]	http://localhost:3000
20240212	23:51:36	c6df0f43-d316-4a2a-a364-6b2079741295	CastError: Cast to ObjectId failed for value "[object Object]" (type string) at path "_id" for model "Chat"	GET	/api/v1/chat/[object%20Object]	http://localhost:3000
20240213	00:58:33	998cbf26-4d1b-4cf2-9b0b-fa001b3031cf	TypeError: Cannot read properties of null (reading '_id')	POST	/api/v1/message	http://localhost:3000
